iter	Passed	Remaining
638	19830	4996
639	19860	4965
640	19891	4934
641	19922	4903
642	19954	4872
643	19985	4841
644	20016	4810
645	20046	4778
646	20077	4747
647	20107	4716
648	20139	4685
649	20170	4654
650	20201	4623
651	20232	4592
652	20263	4561
653	20294	4530
654	20323	4499
655	20356	4468
656	20389	4437
657	20424	4407
658	20455	4376
659	20487	4345
660	20520	4315
661	20550	4283
662	20581	4252
663	20611	4221
664	20641	4190
665	20672	4159
666	20703	4128
667	20736	4097
668	20769	4066
669	20802	4036
670	20833	4005
671	20864	3974
672	20894	3942
673	20926	3912
674	20955	3880
675	20985	3849
676	21016	3818
677	21049	3787
678	21079	3756
679	21110	3725
680	21141	3694
681	21171	3663
682	21201	3631
683	21232	3600
684	21264	3570
685	21296	3539
686	21327	3508
687	21360	3477
688	21392	3446
689	21423	3415
690	21457	3384
691	21488	3353
692	21518	3322
693	21549	3291
694	21582	3260
695	21613	3229
696	21643	3198
697	21674	3167
698	21704	3136
699	21735	3105
700	21766	3074
701	21799	3043
702	21833	3012
703	21864	2981
704	21895	2950
705	21926	2919
706	21956	2888
707	21987	2857
708	22018	2826
709	22049	2795
710	22079	2763
711	22110	2732
712	22141	2701
713	22172	2670
714	22203	2639
715	22235	2608
716	22266	2577
717	22295	2546
718	22326	2515
719	22359	2484
720	22393	2453
721	22427	2422
722	22459	2391
723	22490	2360
724	22521	2329
725	22552	2298
726	22584	2267
727	22615	2236
728	22646	2205
729	22675	2174
730	22707	2143
731	22739	2112
732	22770	2081
733	22801	2050
734	22833	2019
735	22864	1988
736	22893	1956
737	22924	1925
738	22956	1894
739	22989	1864
740	23021	1832
741	23055	1802
742	23085	1771
743	23115	1739
744	23144	1708
745	23174	1677
746	23213	1647
747	23253	1616
748	23289	1585
749	23324	1554
750	23361	1524
751	23397	1493
752	23433	1462
753	23468	1431
754	23503	1400
755	23537	1369
756	23574	1339
757	23608	1308
758	23642	1277
759	23674	1246
760	23708	1214
761	23741	1183
762	23781	1153
763	23815	1122
764	23848	1091
765	23880	1059
766	23913	1028
767	23946	997
768	23979	966
769	24013	935
770	24049	904
771	24086	873
772	24124	842
773	24159	811
774	24193	780
775	24227	749
776	24262	718
777	24295	687
778	24332	655
779	24368	624
780	24405	593
781	24438	562
782	24470	531
783	24506	500
784	24540	468
785	24577	437
786	24610	406
787	24645	375
788	24682	344
789	24718	312
790	24752	281
791	24786	250
792	24819	219
793	24852	187
794	24891	156
795	24925	125
796	24956	93
797	24988	62
798	25018	31
799	25051	0
